"","size","count"
"1",1,11640
"2",2,3960
"3",3,1906
"4",4,1160
"5",5,705
"6",6,530
"7",7,350
"8",8,283
"9",9,196
"10",10,174
"11",11,152
"12",12,111
"13",13,107
"14",14,92
"15",15,72
"16",16,54
"17",17,34
"18",18,50
"19",19,46
"20",20,36
"21",21,32
"22",22,39
"23",23,29
"24",24,28
"25",25,22
"26",26,24
"27",27,19
"28",28,16
"29",29,16
"30",30,7
"31",31,20
"32",32,12
"33",33,4
"34",34,14
"35",35,11
"36",36,13
"37",37,6
"38",38,4
"39",39,5
"40",40,7
"41",41,13
"42",42,5
"43",43,7
"44",44,8
"45",45,7
"46",46,10
"47",47,4
"48",48,6
"49",49,3
"50",50,7
"51",51,8
"52",52,4
"53",53,4
"54",54,2
"55",55,3
"56",56,6
"57",57,3
"58",58,5
"59",59,7
"60",60,5
"61",61,3
"62",62,3
"63",63,4
"64",64,5
"65",65,2
"66",66,2
"67",67,2
"68",68,4
"69",69,2
"70",70,2
"71",71,1
"72",72,2
"73",73,3
"74",75,4
"75",76,2
"76",77,3
"77",78,3
"78",79,2
"79",80,3
"80",81,3
"81",82,1
"82",83,2
"83",84,3
"84",85,4
"85",86,3
"86",87,3
"87",88,3
"88",90,1
"89",91,3
"90",94,1
"91",95,3
"92",97,2
"93",98,2
"94",99,1
"95",101,2
"96",102,1
"97",103,1
"98",104,1
"99",105,1
"100",107,1
"101",108,2
"102",110,1
"103",112,1
"104",115,1
"105",117,1
"106",118,1
"107",119,2
"108",120,1
"109",122,2
"110",125,1
"111",126,1
"112",127,2
"113",128,2
"114",130,1
"115",131,1
"116",132,2
"117",133,1
"118",135,1
"119",137,2
"120",138,1
"121",139,4
"122",145,1
"123",147,1
"124",153,1
"125",154,1
"126",160,1
"127",163,1
"128",166,1
"129",172,1
"130",173,2
"131",176,1
"132",178,2
"133",181,1
"134",186,1
"135",190,2
"136",191,1
"137",192,2
"138",193,1
"139",195,1
"140",203,1
"141",206,1
"142",228,1
"143",231,1
"144",238,1
"145",244,1
"146",248,2
"147",250,1
"148",256,1
"149",262,1
"150",273,1
"151",275,1
"152",281,1
"153",282,1
"154",284,1
"155",288,1
"156",312,2
"157",316,1
"158",317,1
"159",320,1
"160",325,1
"161",335,1
"162",336,1
"163",374,1
"164",378,1
"165",390,1
"166",395,1
"167",400,1
"168",463,1
"169",488,1
"170",697,1
"171",780,1
